Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,32.255981,32.693348,32.255981,32.663528,15.862462,167464
2006-01-03,33.001495,33.697311,32.852390,33.160538,16.103823,636558
2006-01-04,33.498505,33.578030,32.862331,32.981613,16.016932,331213
2006-01-05,33.200298,33.240063,32.484604,32.653587,15.857631,390607
2006-01-06,32.733109,32.802692,32.504486,32.802692,15.930043,282966
2006-01-09,32.941853,32.981613,32.444843,32.941853,15.997622,405195
2006-01-10,32.951794,33.100899,32.772869,32.991554,16.021763,242207
2006-01-11,32.862331,34.253963,32.772869,34.015396,16.518974,352528
2006-01-12,34.194321,34.442825,33.737072,34.214203,16.615517,456071
2006-01-13,34.214203,34.383186,33.806652,34.313602,16.663792,190919
2006-01-16,34.562107,34.562107,33.786774,34.174438,16.596207,215060
2006-01-17,33.786774,33.816593,33.309643,33.756950,16.393463,269637
2006-01-18,33.001495,33.448807,32.882214,33.359344,16.200371,169064
2006-01-19,33.389164,33.766891,33.279819,33.667488,16.350016,164213
2006-01-20,33.409042,33.587967,32.912033,32.912033,15.983145,235136
2006-01-23,32.832512,32.902092,32.584007,32.693348,15.876942,317603
2006-01-24,32.683411,33.478626,32.683411,33.210239,16.127962,169051
2006-01-25,33.409042,33.836472,33.389164,33.627728,16.330704,411037
2006-01-26,33.548206,35.297684,33.548206,35.098881,17.045147,528356
2006-01-27,35.307625,35.963676,34.880196,35.287743,17.136864,387550
2006-01-30,35.267864,35.675411,35.158520,35.466667,17.223757,149670
2006-01-31,35.744991,35.784756,35.039238,35.247982,17.117554,267877
2006-02-01,35.188343,36.778774,35.049179,36.182362,17.571321,337711
2006-02-02,36.212185,36.639610,35.695293,35.933857,17.450638,165890
2006-02-03,35.814575,36.112782,35.317562,35.735054,17.354092,223019
2006-02-06,35.416965,36.361286,35.416965,36.122723,17.542360,286592
2006-02-07,36.381168,36.381168,35.744991,36.281765,17.619595,313455
2006-02-08,35.774815,35.904037,35.407024,35.824516,17.397537,231918
2006-02-09,36.232063,36.560089,35.894096,36.430866,17.692001,460815
2006-02-10,36.570030,39.880119,36.480568,39.760838,19.309139,2005864
2006-02-13,39.263828,41.788643,39.174366,41.550076,20.178051,1528244
